Unnamed: 0,item_number,description,category,item_link,minifigs_link,color_link,Name,Hair Type,Is_Fantasy_Color,Is_Natural_Color
18,87995,"Minifigure, Hair Bubble Style / Afro","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=87995,https://www.bricklink.com/catalogItemIn.asp?P=87995&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=87995#T=C,Brown,Black-coded,False,True
19,87995,"Minifigure, Hair Bubble Style / Afro","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=87995,https://www.bricklink.com/catalogItemIn.asp?P=87995&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=87995#T=C,Dark Brown,Black-coded,False,True
374,88286,"Minifigure, Hair Female Ponytail Long French Braided","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=88286,https://www.bricklink.com/catalogItemIn.asp?P=88286&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=88286#T=C,Brown,Black-coded,False,True
375,88286,"Minifigure, Hair Female Ponytail Long French Braided","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=88286,https://www.bricklink.com/catalogItemIn.asp?P=88286&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=88286#T=C,Dark Bluish Gray,Black-coded,False,False
376,88286,"Minifigure, Hair Female Ponytail Long French Braided","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=88286,https://www.bricklink.com/catalogItemIn.asp?P=88286&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=88286#T=C,Dark Brown,Black-coded,False,True
377,88286,"Minifigure, Hair Female Ponytail Long French Braided","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=88286,https://www.bricklink.com/catalogItemIn.asp?P=88286&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=88286#T=C,Dark Tan,Black-coded,False,True
378,88286,"Minifigure, Hair Female Ponytail Long French Braided","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=88286,https://www.bricklink.com/catalogItemIn.asp?P=88286&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=88286#T=C,Medium Nougat,Black-coded,False,False
381,88286,"Minifigure, Hair Female Ponytail Long French Braided","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=88286,https://www.bricklink.com/catalogItemIn.asp?P=88286&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=88286#T=C,Tan,Black-coded,False,False
382,88286,"Minifigure, Hair Female Ponytail Long French Braided","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=88286,https://www.bricklink.com/catalogItemIn.asp?P=88286&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=88286#T=C,White,Black-coded,False,True
227,92080,"Minifigure, Hair Female Long with Top Knot Bun and Barbs","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=92080,https://www.bricklink.com/catalogItemIn.asp?P=92080&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=92080#T=C,White,Black-coded,False,True
